TransactionID,AccountID,TransactionAmount,TransactionDate,DeviceID,IP Address,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster,TransactionType,Channel,Location,CustomerOccupation
TX000001,AC00128,2.7140322727797574,2023-04-11 16:29:14,D000380,162.198.218.92,M015,70,81,1,5112.21,2024-11-04 08:08:08,2,Debit,ATM,San Diego,Doctor
TX000002,AC00455,5.932881589675684,2023-06-27 16:44:19,D000051,13.149.61.4,M052,68,141,1,13758.91,2024-11-04 08:09:35,2,Debit,ATM,Houston,Doctor
TX000003,AC00019,4.846467947882343,2023-07-10 18:16:08,D000235,215.97.143.157,M009,19,56,1,1122.35,2024-11-04 08:07:04,0,Debit,Online,Mesa,Student
TX000004,AC00070,5.22305488204749,2023-05-05 16:32:11,D000187,200.13.225.150,M002,26,25,1,8569.06,2024-11-04 08:09:06,0,Debit,Online,Raleigh,Student
TX000005,AC00411,2.670694414558441,2023-10-16 17:51:24,D000308,65.164.3.100,M091,26,198,1,7429.4,2024-11-04 08:06:39,1,Credit,Online,Atlanta,Student
TX000006,AC00393,4.5342110970475975,2023-04-03 17:15:01,D000579,117.67.192.211,M054,18,172,1,781.68,2024-11-04 08:06:36,2,Debit,ATM,Oklahoma City,Student
TX000007,AC00199,2.089391872533004,2023-02-15 16:36:48,D000241,140.212.253.222,M019,37,139,1,13316.71,2024-11-04 08:10:09,1,Credit,ATM,Seattle,Doctor
TX000008,AC00069,5.1499333607817785,2023-05-08 17:47:59,D000500,92.214.76.157,M020,67,291,1,2796.24,2024-11-04 08:10:55,1,Credit,Branch,Indianapolis,Retired
TX000009,AC00135,4.674976060232054,2023-03-21 16:59:46,D000690,24.148.92.177,M035,51,86,1,9095.14,2024-11-04 08:11:14,1,Credit,Branch,Detroit,Engineer
TX000010,AC00385,6.705590134053119,2023-03-31 16:06:57,D000199,32.169.88.41,M007,55,120,1,1021.88,2024-11-04 08:06:32,2,Debit,ATM,Nashville,Doctor
TX000011,AC00150,2.932792473780117,2023-03-14 16:46:10,D000205,213.15.9.253,M073,52,59,1,7599.52,2024-11-04 08:06:45,1,Credit,Online,Albuquerque,Engineer
TX000012,AC00459,5.252378134606592,2023-02-06 17:30:00,D000589,116.175.11.222,M030,21,173,1,1528.81,2024-11-04 08:07:12,0,Debit,Online,Memphis,Student
TX000013,AC00392,6.205607716224892,2023-06-07 17:21:28,D000032,210.98.198.143,M057,24,111,1,1620.02,2024-11-04 08:08:38,1,Credit,Branch,Mesa,Student
TX000014,AC00264,6.662826135596005,2023-11-20 16:39:15,D000054,193.83.0.183,M025,26,123,1,189.69,2024-11-04 08:07:06,2,Debit,ATM,Memphis,Student
TX000015,AC00085,5.123904453822123,2023-02-13 16:53:57,D000309,188.124.181.12,M017,18,134,1,299.93,2024-11-04 08:10:09,0,Debit,Online,Louisville,Student
TX000016,AC00270,6.14515083340697,2023-12-12 16:23:31,D000466,221.169.49.152,M025,36,129,1,3465.54,2024-11-04 08:12:19,2,Debit,ATM,Denver,Engineer
TX000017,AC00317,6.32220610902021,2023-10-30 16:52:49,D000671,53.218.177.171,M048,19,158,1,1131.26,2024-11-04 08:07:35,1,Credit,Branch,Austin,Student
TX000018,AC00359,6.202393806742613,2023-12-14 18:32:14,D000432,114.223.129.47,M059,39,234,1,5109.97,2024-11-04 08:11:51,0,Debit,Online,Columbus,Engineer
TX000019,AC00242,2.9796028916241073,2023-02-21 16:56:50,D000530,93.218.115.132,M054,59,106,1,7948.37,2024-11-04 08:12:01,1,Credit,Branch,Albuquerque,Retired
TX000020,AC00285,4.283310661734724,2023-06-08 18:18:50,D000039,120.170.93.69,M039,18,169,1,6568.59,2024-11-04 08:09:20,1,Credit,Online,Columbus,Student
TX000021,AC00002,4.099663723699701,2023-02-28 16:36:58,D000152,116.44.12.250,M040,71,38,1,5750.89,2024-11-04 08:09:24,0,Debit,Branch,Los Angeles,Retired
TX000022,AC00014,4.463260939805398,2023-08-11 18:31:31,D000268,59.132.247.252,M065,38,93,1,9146.19,2024-11-04 08:08:13,0,Debit,Branch,Las Vegas,Doctor
TX000023,AC00095,3.9740583963475986,2023-06-06 18:54:15,D000142,133.63.96.21,M022,39,120,1,8974.93,2024-11-04 08:07:01,0,Debit,Online,Atlanta,Engineer
TX000024,AC00453,5.8488635785089595,2023-05-02 18:25:46,D000162,191.82.103.198,M083,22,142,3,1402.5,2024-11-04 08:07:04,0,Debit,Online,Fort Worth,Student
TX000025,AC00241,4.987298428731818,2023-03-02 16:43:56,D000036,119.186.154.104,M028,21,96,1,1930.96,2024-11-04 08:07:09,0,Debit,Online,Raleigh,Student
TX000026,AC00041,2.138889000323256,2023-10-20 17:53:13,D000671,81.248.235.147,M043,65,276,1,3634.67,2024-11-04 08:09:44,1,Credit,Online,Houston,Retired
TX000027,AC00441,5.513146448258161,2023-04-17 16:37:01,D000046,55.154.161.250,M029,23,158,5,673.35,2024-11-04 08:11:38,2,Debit,ATM,Miami,Student
TX000028,AC00057,3.721346644251438,2023-03-29 16:42:38,D000310,21.28.32.1,M008,37,95,1,2686.52,2024-11-04 08:11:59,0,Debit,Branch,Milwaukee,Engineer
TX000029,AC00390,4.855539723555893,2023-01-24 16:18:32,D000232,152.234.65.155,M092,44,197,1,1772.06,2024-11-04 08:11:22,0,Debit,Online,Las Vegas,Doctor
TX000030,AC00313,4.04602928527588,2023-09-20 16:55:42,D000297,33.28.138.82,M043,27,283,1,1351.69,2024-11-04 08:08:30,0,Debit,Branch,Detroit,Student
